name,filename,source,accession
NFYA,wgEncodeAwgTfbsSydhGm12878NfyaIggmusUniPk.narrowPeak,ENCODE,GSE31477
NFYB,wgEncodeAwgTfbsSydhGm12878NfybIggmusUniPk.narrowPeak,ENCODE,GSE31477
NR2C2,wgEncodeAwgTfbsSydhGm12878Tr4UniPk.narrowPeak,ENCODE,GSE31477
NRF1,wgEncodeAwgTfbsSydhGm12878Nrf1IggmusUniPk.narrowPeak,ENCODE,GSE31477
PAX5,wgEncodeAwgTfbsHaibGm12878Pax5c20Pcr1xUniPk.narrowPeak,ENCODE,GSE32465
PBX3,wgEncodeAwgTfbsHaibGm12878Pbx3Pcr1xUniPk.narrowPeak,ENCODE,GSE32465
PML,wgEncodeAwgTfbsHaibGm12878Pmlsc71910V0422111UniPk.narrowPeak,ENCODE,GSE32465
POLR2A,wgEncodeAwgTfbsHaibGm12878Pol2Pcr2xUniPk.narrowPeak,ENCODE,GSE32465
POLR3G,wgEncodeAwgTfbsSydhGm12878Pol3UniPk.narrowPeak,ENCODE,GSE31477
POU2F2,wgEncodeAwgTfbsHaibGm12878Pou2f2Pcr1xUniPk.narrowPeak,ENCODE,GSE32465
RAD21,wgEncodeAwgTfbsHaibGm12878Rad21V0416101UniPk.narrowPeak,ENCODE,GSE32465
RCOR1,wgEncodeAwgTfbsSydhGm12878Corestsc30189IggmusUniPk.narrowPeak,ENCODE,GSE31477
REST,wgEncodeAwgTfbsHaibGm12878NrsfPcr1xUniPk.narrowPeak,ENCODE,GSE32465
RFX5,wgEncodeAwgTfbsSydhGm12878Rfx5200401194IggmusUniPk.narrowPeak,ENCODE,GSE31477
RUNX3,wgEncodeAwgTfbsHaibGm12878Runx3sc101553V0422111UniPk.narrowPeak,ENCODE,GSE32465
RXRA,wgEncodeAwgTfbsHaibGm12878RxraPcr1xUniPk.narrowPeak,ENCODE,GSE32465
SIN3A,wgEncodeAwgTfbsSydhGm12878Sin3anb6001263IggmusUniPk.narrowPeak,ENCODE,GSE31477
SIX5,wgEncodeAwgTfbsHaibGm12878Six5Pcr1xUniPk.narrowPeak,ENCODE,GSE32465
SMC3,wgEncodeAwgTfbsSydhGm12878Smc3ab9263IggmusUniPk.narrowPeak,ENCODE,GSE31477
SP1,wgEncodeAwgTfbsHaibGm12878Sp1Pcr1xUniPk.narrowPeak,ENCODE,GSE32465
SPI1,wgEncodeAwgTfbsHaibGm12878Pu1Pcr1xUniPk.narrowPeak,ENCODE,GSE32465
SREBF1,wgEncodeSydhTfbsGm12878Srebp1IggrabPk.narrowPeak,ENCODE,GSE31477
SREBF2,wgEncodeSydhTfbsGm12878Srebp2IggrabPk.narrowPeak,ENCODE,GSE31477
SRF,wgEncodeAwgTfbsHaibGm12878SrfPcr2xUniPk.narrowPeak,ENCODE,GSE32465
STAT1,wgEncodeAwgTfbsSydhGm12878Stat1UniPk.narrowPeak,ENCODE,GSE31477
STAT3,wgEncodeAwgTfbsSydhGm12878Stat3IggmusUniPk.narrowPeak,ENCODE,GSE31477
STAT5A,wgEncodeAwgTfbsHaibGm12878Stat5asc74442V0422111UniPk.narrowPeak,ENCODE,GSE32465
SUPT20H,wgEncodeSydhTfbsGm12878Spt20StdPk.narrowPeak,ENCODE,GSE31477
TAF1,wgEncodeAwgTfbsHaibGm12878Taf1Pcr1xUniPk.narrowPeak,ENCODE,GSE32465
TBL1XR1,wgEncodeAwgTfbsSydhGm12878Tblr1ab24550IggmusUniPk.narrowPeak,ENCODE,GSE31477
TBP,wgEncodeAwgTfbsSydhGm12878TbpIggmusUniPk.narrowPeak,ENCODE,GSE31477
TCF12,wgEncodeAwgTfbsHaibGm12878Tcf12Pcr1xUniPk.narrowPeak,ENCODE,GSE32465
TCF3,wgEncodeAwgTfbsHaibGm12878Tcf3Pcr1xUniPk.narrowPeak,ENCODE,GSE32465
USF1,wgEncodeAwgTfbsHaibGm12878Usf1Pcr2xUniPk.narrowPeak,ENCODE,GSE32465
USF2,wgEncodeAwgTfbsSydhGm12878Usf2IggmusUniPk.narrowPeak,ENCODE,GSE31477
WRNIP1,wgEncodeAwgTfbsSydhGm12878WhipIggmusUniPk.narrowPeak,ENCODE,GSE31477
YY1,wgEncodeAwgTfbsSydhGm12878Yy1UniPk.narrowPeak,ENCODE,GSE31477
ZBTB33,wgEncodeAwgTfbsHaibGm12878Zbtb33Pcr1xUniPk.narrowPeak,ENCODE,GSE32465
ZEB1,wgEncodeAwgTfbsHaibGm12878Zeb1sc25388V0416102UniPk.narrowPeak,ENCODE,GSE32465
ZNF143,wgEncodeAwgTfbsSydhGm12878Znf143166181apUniPk.narrowPeak,ENCODE,GSE31477
ZNF274,wgEncodeAwgTfbsSydhGm12878Znf274UniPk.narrowPeak,ENCODE,GSE31477
ZNF384,wgEncodeSydhTfbsGm12878Znf384hpa004051IggmusPk.narrowPeak,ENCODE,GSE31477
ZZZ3,wgEncodeAwgTfbsSydhGm12878Zzz3UniPk.narrowPeak,ENCODE,GSE31477
